fact_id,module,entity,sources,source_count,metric,record_count,value,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,years_with_data,query_ref,verified_at
CROSS-TOP-023,integraal,Commissariaat voor de media,"Financiële instrumenten, Inkoopuitgaven",2,cross_module_total,104,8584084000,5706000,972689000,963863000,996329000,1042441000,1043650000,1110521000,1201057000,1247828000,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-024,integraal,Gemeente 's-Gravenhage,"Financiële instrumenten, Publiek",2,cross_module_total,105,8446089005,48513000,43915000,0,47462000,50993000,1597971000,2169421001,2227485001,2260329003,8,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-025,integraal,Geanonimiseerde ontvanger(s) van Inkomensoverdrachten voor Zorgtoeslag,Financiële instrumenten,1,cross_module_total,1,8391128000,0,0,0,0,0,0,0,8391128000,0,1,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-026,integraal,Centraal Bureau COA,Financiële instrumenten,1,cross_module_total,8,8234450000,0,0,606162000,638106000,754836000,738386000,1570085000,0,3926875000,6,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-027,integraal,Ontvanger BNI-afdracht,Financiële instrumenten,1,cross_module_total,2,7483864000,0,3403187000,4080677000,0,0,0,0,0,0,2,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-028,integraal,Belastingdienst,"Financiële instrumenten, Inkoopuitgaven",2,cross_module_total,291,7330001000,697000,54000,5995000,42901000,33936000,7208677000,37241000,84000,416000,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-029,integraal,Rijkswaterstaat (RWS),Financiële instrumenten,1,cross_module_total,144,7201144000,2355451000,2238491000,0,2502734000,104468000,0,0,0,0,4,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-030,integraal,Geanonimiseerde ontvanger(s) van Inkomensoverdrachten voor INK Zorgtoeslag,Financiële instrumenten,1,cross_module_total,1,7043866000,0,0,0,0,0,0,0,0,7043866000,1,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-031,integraal,Rotterdam,Financiële instrumenten,1,cross_module_total,22,6696380000,0,1519861000,1641582000,1703217000,1831222000,498000,0,0,0,5,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-032,integraal,Uitvoeringsinstituut werknemersverzeke-,Financiële instrumenten,1,cross_module_total,13,6445361000,0,0,0,0,0,0,6445361000,0,0,1,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-033,integraal,Ontvanger Invoerrechten,Financiële instrumenten,1,cross_module_total,2,6219068000,0,3081426000,3137642000,0,0,0,0,0,0,2,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-034,integraal,memoriaalboeking,Financiële instrumenten,1,cross_module_total,79,6091064000,0,0,0,0,0,6091064000,0,0,0,1,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-035,integraal,begrotingsreserve,Financiële instrumenten,1,cross_module_total,48,6038645000,0,0,0,1091401000,2038151000,176723000,2696823000,35547000,0,5,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-036,integraal,onbekend,"Financiële instrumenten, Publiek",2,cross_module_total,654,5903884269,0,777000,0,483000,13810622,5873463615,15330032,20000,0,6,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-037,integraal,Raad voor de rechtspraak,Financiële instrumenten,1,cross_module_total,12,5871680000,0,0,37000,1075954000,1077097000,1161916000,1230171000,1326342000,163000,7,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-038,integraal,Geanonimiseerde ontvanger(s) van Leningen voor Rentedragende lening (NR),Financiële instrumenten,1,cross_module_total,4,5739354000,0,0,0,0,0,0,2600352000,1899590000,1239412000,3,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-039,integraal,BTW-afdrachten,Financiële instrumenten,1,cross_module_total,5,5724531000,0,0,0,0,553463000,1049051000,1245232000,1409352000,1467433000,5,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-040,integraal,Universiteit Utrecht,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,cross_module_total,611,5701839122,5046294,555221896,602901739,629276503,661334311,733990320,783684828,852257693,878125538,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-041,integraal,Infrastructuurfonds,Financiële instrumenten,1,cross_module_total,1,5459755000,0,0,5459755000,0,0,0,0,0,0,1,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-042,integraal,Universiteit van Amsterdam,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,cross_module_total,335,5250670948,9311363,489118900,542697404,574093542,604874850,682866981,739748948,778559652,829399308,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-043,integraal,'s-Gravenhage,Financiële instrumenten,1,cross_module_total,14,5184290000,0,1173629000,1242939000,1325814000,1441908000,0,0,0,0,4,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-044,integraal,Infastructuurfonds,Financiële instrumenten,1,cross_module_total,1,5133045000,0,0,0,5133045000,0,0,0,0,0,1,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-045,integraal,gemeente Utrecht,"Financiële instrumenten, Provinciale subsidieregisters, Publiek",3,cross_module_total,292,5059526109,24242000,22222000,65003,23632001,22291001,1125796003,1169909087,1366376006,1304993008,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-046,integraal,Rijksuniversiteit Groningen,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,cross_module_total,316,4781732943,2363462,452057009,500850215,525211843,553642928,616937474,661792183,715968617,752909212,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-047,integraal,Rijksdienst voor Ondernemend Nederland (RVO),Financiële instrumenten,1,cross_module_total,383,4695175000,755191000,814675000,440359000,925360000,1759590000,0,0,0,0,5,Q-CROSS-01,2026-03-02T19:28:34Z
