fact_id,begrotingsnaam,kostensoort,jaar,bedrag
APP-162,Infrastructuur en Waterstaat,Gebruik en onderhoud van gebouw en terreinen,2022,43957000
APP-163,Infrastructuur en Waterstaat,Gebruik en onderhoud van gebouw en terreinen,2023,43528000
APP-164,Justitie en Veiligheid,Vergoedingen voor inbesteding personeel,2023,43422000
APP-165,Buitenlandse Zaken,Pensioenpremies,2024,43208000
APP-166,Financiën,"Vakliteratuur, abonnementen en overige informatie",2024,42836000
APP-167,Infrastructuur en Waterstaat,Gebruik en onderhoud gebouw en terreinen,2024,42735000
APP-168,Buitenlandse Zaken,Uitzendkrachten,2024,42452000
APP-169,Ministerie van Sociale Zaken en Werkgelegenheid,Pensioenpremies,2023,42089000
APP-170,Economische zaken en Klimaat,Bijdragen aan baten-lastendiensten ,2024,41907000
APP-171,Sociale zaken en Werkgelegenheid,Pensioenpremies,2022,41526000
APP-172,Sociale Zaken en Werkgelegenheid,SOC.LSTN/BIJDR ZVW,2024,41273000
APP-173,Buitenlandse Zaken,Pensioenpremies,2022,41041000
APP-174,Economische zaken en Klimaat,Bijdragen aan baten-lastendiensten,2023,40920000
APP-175,Defensie,Benodigdheden en hulpmiddelen overig,2024,40865000
APP-176,Infrastructuur en Waterstaat,Advisering opdrachtgevers over automatiseringsvraagstukken,2024,40796000
APP-177,Buitenlandse Zaken,Definities conform P-direkt,2024,40288000
APP-178,Financiën,Studie en opleiding,2023,40236000
APP-179,Buitenlandse Zaken,Pensioenpremies,2023,40080000
APP-180,Defensie,"Instroom, doorstroom en uitstroom van personeel",2023,39797000
APP-181,Defensie,Schoonmaakkosten,2023,39109000
APP-182,Ministerie van Sociale Zaken en Werkgelegenheid,Soc.lstn/bijdr zvw,2023,38464000
APP-183,Financiën,Vervoer- en verblijfskosten,2023,38449000
APP-184,Economische Zaken en Klimaat,Advisering en eventueel explorerend onderzoek,2022,37838000
APP-185,Defensie,BHV middelen,2023,37710000
APP-186,Financiën,Studie en opleiding,2024,37413000
APP-187,Justitie en Veiligheid,"Beheer, Onderhoud programmatuur & Software",2024,37362000
APP-188," Landbouw, Natuur en Voedselkwaliteit",Bijdrage SSO,2024,37342000
APP-189,Buitenlandse Zaken,Sociale lasten en bijdrage zorgverzekeringswet,2024,36998000
APP-190,Justitie en Veiligheid,Vergoedingen voor inbesteding personeel ,2024,36971000
APP-191,Buitenlandse Zaken,Definities conform P-direkt,2023,36469000
APP-192,Economische zaken en Klimaat,Interim management,2023,35186000
APP-193,Infrastructuur en Waterstaat,Advisering opdrachtgevers over automatiseringsvraagstukken,2023,35133000
APP-194,Algemene Zaken,Inbesteding,2024,34971000
APP-195,Financiën,Inrichting van Gebouwen,2024,34753000
APP-196,Financiën,Studie en opleiding,2022,34409000
APP-197,Financiën,Vakliteratuur,2023,33891000
APP-198,Financiën,Reis- en verblijfskosten,2022,33722000
APP-199," Landbouw, Natuur en Voedselkwaliteit",Bijdrage SSO,2023,33625000
APP-200,Binnenlandse zaken en Koninkrijksrelaties,Pensioenpremies,2024,33375000
APP-201,Infrastructuur en Waterstaat,Beheer en onderhoud infrastructuur,2022,33159000
APP-202,"Onderwijs, Cultuur en Wetenschap",Pensioenpremies,2024,32948000
APP-203,Buitenlandse Zaken,Definities conform P-direkt,2022,32787000
APP-204,Financiën,Inrichting gebouwen,2023,32759000
APP-205,Koninkrijksrelaties,BZK specifiek,2024,32429000
APP-206,Sociale zaken en Werkgelegenheid,Soc.lstn/bijdr zvw,2022,32333000
APP-207,Binnenlandse zaken en Koninkrijksrelaties,BZK Specifiek,2024,31500000
APP-208,Financiën,Inrichting gebouwen,2022,31479000
APP-209,Algemene Zaken,Bijdragen aan baten-lastendiensten,2023,31424000
APP-210,Defensie,Vervoer en verblijfkosten overig,2024,31301000
APP-211,Koninkrijksrelaties,BZK specifiek,2023,31007000
APP-212,Buitenlandse Zaken,Sociale lasten en bijdrage zorgverzekeringswet,2023,30995000
APP-213,Defensie,wetenschappenlijk onderzoek en innovatie,2024,30794000
APP-214,Algemene Zaken,Bijdragen aan baten-lastendiensten,2022,30660000
APP-215,"Onderwijs, Cultuur en Wetenschap","Sociale lasten en 
bijdrage zorgverzekeringswet",2024,30649000
APP-216,Binnenlandse zaken en Koninkrijksrelaties,Sociale lasten en bijdrage zorgverzekeringswet,2024,30573000
APP-217,Algemene Zaken,Loonkosten eigen personeel,2024,30487000
APP-218,Defensie,Onderhoud IT,2024,30452000
APP-219,Binnenlandse zaken en Koninkrijksrelaties,Pensioenpremies,2023,30448000
APP-220,Financiën,"Bovenwettelijke uitkering, wachtgelden",2024,30163000
APP-221,Defensie,Uitzendkrachten,2023,29999000
APP-222,Financiën,Vervoer- en verblijfskosten,2022,29994000
APP-223,"Onderwijs, Cultuur en Wetenschap",Pensioenpremies,2023,29928000
APP-224,Financiën,Vakliteratuur,2022,29867000
APP-225,Koninkrijksrelaties,BZK specifiek,2022,29694000
APP-226,Defensie,Externe inhuur overig,2023,29579000
APP-227,Binnenlandse zaken en Koninkrijksrelaties,Pensioenpremies,2022,29057000
APP-228,Infrastructuur en Waterstaat,Beheer & Onderhoud hardware ,2024,29000000
APP-229,"Landbouw, Natuur en Voedselkwaliteit",Bijdrage SSO,2022,28915000
APP-230,Buitenlandse Zaken,Reis- en Verblijfkosten,2024,28808000
APP-231,Infrastructuur en Waterstaat,Inrichting gebouwen,2023,28778000
APP-232,Infrastructuur en Waterstaat,Beheer en onderhoud infrastructuur,2023,28763000
APP-233,Buitenlandse Zaken,Reis- en verblijfskosten,2023,28338000
APP-234,"Onderwijs, Cultuur en Wetenschap",Pensioenpremies,2022,28199000
