fact_id,ontvanger,jaar,bedrag,descriptor,source
PUB-271,KNAW Nederlands Herseninstituut,2024,750000,Electronische neuroprothese voor het herstel van zien,ZonMW
PUB-272,Gemeente Tilburg,2024,750000,Integrale triage en opvolging van (acute) meldingen van onbegrepen gedrag,ZonMW
PUB-273,Mind Platform Psychische Gezondheid,2022,750000,Kiezen in de ggz 2022,ZonMW
PUB-274,Universiteit Maastricht Faculteit Psychologie en Neurowetenschappen,2024,750000,Sla de avatar niet!: Ontwikkeling en farmacologische validatie van een nieuw transdiagnotisch RDoC-model van reactieve agressie,ZonMW
PUB-275,Koninklijke Nederlandse Akademie van Wetenschappen (Hubrecht),2024,750000,"b3D-AGM, een 3D-gebioprinte omgeving voor de productie van hematopoëtische stamcellen in vitro",ZonMW
PUB-276,Libreon,2022,749725,MDT-Baronie,ZonMW
PUB-277,De Willibrord St. voor Utrecht e.o.,2022,749585,FLOW!,ZonMW
PUB-278,Menzis Zorgverzekeraar N.V.,2023,747751,Opmaken van het Regiobeeld Arnhem,ZonMW
PUB-279,Stichting Albeda,2024,747645,Albeda Next x MDT Apothekersassistent,ZonMW
PUB-280,Healthy Ageing Business Coöperatie,2024,747494,‘Groningen Human Capital for LIFE Sciences’,ZonMW
PUB-281,Huis voor beweging Arnhem,2022,746320,Wereldmeiden/Wereldgozers,ZonMW
PUB-282,Stichting ARQ Centrum ´45,2023,746164,Cost-Effectiveness of Intensive Trauma-Focused Treatment versus Spaced Trauma-Focused Treatment as First-,ZonMW
PUB-283,Rijksuniversiteit Groningen,2023,744039,3rd Neuromorphic Computing in the Netherlands - Edition 2023 - Bio-inspired computing paradigms and emerging technologies,NWO
PUB-284,Universiteit van Amsterdam,2022,731626,Aspasia 2020 ,NWO
PUB-285,Stichting Shift Heemstede,2022,730800,Grensverleggers in de regio,ZonMW
PUB-286,Stichting Life Goals,2022,728268,Opschaling Set your Life Goal,ZonMW
PUB-287,Maastricht University,2022,728202,Aspasia 2020 ,NWO
PUB-288,Gemeente Alkmaar Financiele Adm,2022,724590,Gouden Kans Project,ZonMW
PUB-289,Koninklijke Nederlandse Akademie van Wetenschappen,2022,723070,Aspasia 2019,NWO
PUB-290,St Antonius Ziekenhuis,2024,722479,Dutch-TIMELINESS: Nationale implementatie van een cholecystectomie binnen 72u na ERCP voor galstenen,ZonMW
PUB-291,Valley Optics B.V.,2023,719100,Mkb-innovatiestimulering Topsectoren,RVO
PUB-292,St. Maxima Medisch Centrum,2024,708352,Ondersteuning Verloskundige Samenwerkingsverbanden door Regionaal Consortium Brabant,ZonMW
PUB-293,Pro Persona Holding,2023,693810,Defeating Fear with Exposure therapy delivered by mental health nurses in primary care for Anxiety Disorders,ZonMW
PUB-294,Gemeente Oldambt,2024,687922,Vroegsignalering en opvolging in Oost-Groningen,ZonMW
PUB-295,Spaarne Gasthuis,2022,687541,Opschalen van medicatiebehandeling thuis in plaats van in het ziekenhuis bij patiënten met kanker,ZonMW
PUB-296,Stichting Academy Het Dorp,2024,687122,"Fellowship passend onderzoek naar doelmatige inzet van technologische hulpmiddelen in de gehandicaptenzorg, gekoppeld aan academische werkplaats ZoTeG",ZonMW
PUB-297,Zuyd hogeschool,2023,685412,EET-ZE! Economische evaluatie van technologie voor zelfstandig eten,ZonMW
PUB-298,Stichting Travers Welzijn,2022,682710,Impacter x Windesheim,ZonMW
PUB-299,Gemeente Dantumadiel,2022,681275,MDT ôZoek het uit!ô,ZonMW
PUB-300,Gemeente Nijmegen,2024,680379,"Gezonde leefomgeving Nijmegen: Verbinden en organiseren van proces, advies, kennis en samenwerking",ZonMW
PUB-301,Gemeente Dordrecht,2022,674246,Evaluatie pilots kleinschalige crisisopvang,ZonMW
PUB-302,Stichting 10000 Hours,2022,665098,Music Moves,ZonMW
PUB-303,Faculteit Sociale Wetenschappen UL,2024,647270,Bouwstenen van succes: Analyse van kerncomponenten in een effectieve interventie voor jonge kinderen,ZonMW
PUB-304,Zuyd hogeschool,2024,643443,Leren beter begrepen! Onderzoek naar het creëren van een lerende organisatie in het jeugdveld,ZonMW
PUB-305,ParkinsonNet,2023,636816,Implementatie van Perspective-innovaties in logopedische behandeling van volwassenen met dysartrie.,ZonMW
PUB-306,Stichting ZONH,2023,635000,Pro-actieve zorgplanning bij mensen met een verstandelijke beperking bij Odion,ZonMW
PUB-307,Hogeschool van Amsterdam,2024,633044,Ervaring en organisatie van sportprofessionals in Nederland: De implementatie van sociaal management,ZonMW
PUB-308,Hogeschool Rotterdam,2022,629677,Motivatiebrief Netwerk Regionale Consortia Geboortezorg (NRCG),ZonMW
PUB-309,Stichting Change to Influence,2022,625910,Chance 4 Talentz,ZonMW
PUB-310,Stichting Sport Data Valley,2024,625000,OPEN SDV,ZonMW
PUB-311,GGD Amsterdam,2024,621931,CONTROL-2: Evaluatie van CONTact Reducerende OverheidsmaatregeLen,ZonMW
PUB-312,Stichting GROW!,2022,619764,Grow2Work,ZonMW
PUB-313,GGD Amsterdam,2022,618379,Gezamenlijk gedragen en ontwikkelde oplossingen voor de knelpunten in de samenwerking tussen politie en zorg op straat in de regio Amsterdam-Amstelland,ZonMW
PUB-314,Gemeente Leiden team BMO,2022,613966,MDT UniverCity voor changemakers,ZonMW
PUB-315,GGD regio Utrecht,2024,607957,Bouwen aan een Gezonde Gemeenschap,ZonMW
PUB-316,GGZ-Drenthe,2024,604853,Helpt medicatie bij de behandeling van moeilijk verstaanbaar gedrag en hoe weten en meten we dat?,ZonMW
PUB-317,Stichting Academy Het Dorp,2022,602420,"Academische Werkplaats ZoTeG, ZorgTechnologie in de Gehandicaptenzorg",ZonMW
PUB-318,Gemeente Renkum,2023,600856,Niet Wijken! Samenwerkplaats Onbegrepen Gedrag Gelderland-Midden.,ZonMW
PUB-319,De Haagse Hogeschool,2022,594265,Academische Werkplaats Technologie voor Thuis te honoreren,ZonMW
PUB-320,Viazym B.V.,2022,591228,Mkb-innovatiestimulering Topsectoren,RVO
PUB-321,UvA FNWI locatie Vstr,2023,588328,Brain changes in ME/CFS: Focus on the stress and immune system,ZonMW
PUB-322,Stichting Koninklijke Kentalis,2022,588191,Move to Succeed: Evaluation of the effectiveness of the program Hexe-Pre,ZonMW
PUB-323,United World College Maastricht,2022,583300,#CHANGEMAKERS,ZonMW
PUB-324,GGD regio Utrecht,2023,578707,Regionale Kenniswerkplaats Samen Omgaan met Onbegrip (SOMO) regio Utrecht,ZonMW
PUB-325,St. Universiteit voor Humanistiek,2023,576866,Resilience around severe experiences of loss in daily life. Phenomenological practive-oriented research,ZonMW
PUB-326,Stichting Fioretti Teylingen,2022,576340,Talent4Life,ZonMW
PUB-327,Hogeschool Utrecht,2022,570824,Creating optimized and future-proof emergency care for patients with complex multimorbidity,ZonMW
PUB-328,Alliade Zorggroep,2024,570811,Analyseren en onderzoeken van afvalscheiding en het maken van verbeterplannen binnen Alliade,ZonMW
PUB-329,Korsakov Kenniscentrum Rotterdam,2023,570000,Kenniscentrum Korsakov,ZonMW
PUB-330,Korsakov Kenniscentrum Rotterdam,2022,570000,Kenniscentrum Korsakov,ZonMW
PUB-331,Korsakov Kenniscentrum Rotterdam,2024,570000,Kennisnetwerk Korsakov,ZonMW
PUB-332,Gemeente Eindhoven,2024,569629,Implementatietraject Streettriage Eindhoven,ZonMW
PUB-333,Het Nederlands Kanker Instituut (NKI),2023,567000,Bestraling van de hersenen zorgt in muizen niet voor versnelde veroudering in gezonde hersencellen,ZonMW
PUB-334,WSG Stg Expertise Centrum,2022,563732,"Time of Your Life - Opschalen, uitbreiden en versterken",ZonMW
PUB-335,Wageningen Universiteit Bureau Maatschappijwetenschappen,2023,562136,Living Lab Lindenholt: de natuurlijke broedplaats voor de wijk,ZonMW
PUB-336,Stichting Vitis Welzijn,2022,561207,Vrijwillig Traineeship 3.0,ZonMW
PUB-337,Stichting Arkin,2024,561046,“VIPwordtFIT!”,ZonMW
PUB-338,Canisius-Wilhelmina Ziekenhuis,2022,555330,Lysergzuurdiethylamide (LSD) als preventieve behandeling bij chronische clusterhoofdpijn: gerandomiseerd placebo-gecontroleerd onderzoek,ZonMW
PUB-339,Stichting Partners in Welzijn,2022,549975,MatchMate MDT,ZonMW
PUB-340,TUE Eindhoven,2024,549090,Mobiliteits- en gedragsgebaseerde ex-postevaluatie van effectiviteit van COVID-19-maatregelen,ZonMW
PUB-341,Stichting Koninklijke Kentalis,2023,547016,Always look at the bright side of life: a digital intervention to treat psychosocial problems in deaf/hard-hearing/DLD adolescents,ZonMW
PUB-342,Open Universiteit,2023,544301,AUTOLINK: Automated Unobtrusive Techniques for LINKing requirements and testing in agile software development,NWO
PUB-343,Stichting New Bees,2022,536465,NewBees MDT Traineeships,ZonMW
PUB-344,St. Zuyderland Medisch Centrum,2023,532494,De zorg die ik wens en bij mij past als… ik niet meer beter word’ Structurele implementatie van transmurale proactieve zorgplanning op maat in specialistische zorgpaden,ZonMW
PUB-345,Stichting Humanitas DMH,2024,530000,De Kookapp - Eet je een hapje mee?,ZonMW
PUB-346,Hogeschool Rotterdam,2023,529112,"Boss: Betere zorg voor Oudere migranten met dementie door Samenwerking, (vroeg)Signalering en diagnostiek. Kennisvergroting bij de doelgroep oudere migranten, mantelzorgers en (toekomstige) zorg- en welzijnsprofessionals over (vroeg)signaleren, diagnostie",ZonMW
PUB-347,In Holland Hogeschool,2023,527003,"De mens zien, die (ook) dementie heeft. Via actieonderzoek samen ontdekken en anders leren doen voor meer menselijkheid in de zorg",ZonMW
PUB-348,BioscienZ,2022,520000,Eurostars,RVO
PUB-349,Maastricht UMC+,2022,519984,Aspasia 2019,NWO
PUB-350,Stichting Expertisecentrum Preventie,2022,519980,"Kenniswerkplaats Onbegrepen Gedrag in het Caribische deel van het Koninkrijk: samenwerken, samen leren, samen groeien!",ZonMW
PUB-351,BIMINI Biotech B.V.,2023,519943,Eurostars,RVO
PUB-352,Locsense B.V.,2023,519871,Eurostars,RVO
PUB-353,Gemeente Delft,2024,519700,Buurt GGZ-er Delft,ZonMW
PUB-354,Stichting Lentis Maatschappelijke Onderneming,2023,516812,"Huis-CAT, Cognitieve Adaptatie Training aangepast voor woonbegeleiders & naasten",ZonMW
PUB-355,Stichting Academy Het Dorp,2023,516087,More is less?! Meer zelfstandig functioneren en minder begeleidingsmomenten door robot Tessa: een,ZonMW
PUB-356,Stichting Albeda,2023,508152,Albeda Next x MDT,ZonMW
PUB-357,Sint Maartenskliniek,2022,505891,REDUCE PMR: Rituximab Effect on Decreasing glUcoCorticoid Exposition in PolyMyalgia Rheumatica: 2 parallel trials in 1) recently diagnosed and 2) relapsing polymyalgia rheumatica patients,ZonMW
PUB-358,Vereniging Gezondheidsregio Zoetermeer,2024,504595,"""Versterk de burger, verlicht de zorg, Hoe gemeenschapsintelligentie ons gaat helpen”",ZonMW
PUB-359,Lunet Zorg,2024,504560,"Effectiviteit van Dialectische Gedragstherapie voor mensen met LVB, zelfbeschadiging en agressie",ZonMW
PUB-360,University Medical Center Utrecht,2023,500000,Eurostars,RVO
PUB-361,Odd.Bot,2022,500000,Eurostars,RVO
PUB-362,ONWARD Medical N.V.,2023,500000,Eurostars,RVO
PUB-363,Sensing360 B.V.,2023,500000,Eurostars,RVO
PUB-364,Salvia BioElectronics BV,2022,500000,Eurostars,RVO
PUB-365,Sensius,2023,500000,Eurostars,RVO
PUB-366,Qorium B.V.,2023,500000,Eurostars,RVO
PUB-367,Vereniging Samenwerkende Topklinische Opleidings Ziekenhuizen STZ,2024,500000,STZ innovatiehub,ZonMW
PUB-368,Hybridize Pharma BV,2023,500000,Eurostars,RVO
PUB-369,ONWARD Medical N.V.,2022,500000,Eurostars,RVO
PUB-370,Inno-Assembly B.V.,2023,500000,Eurostars,RVO
PUB-371,AM-Flow B.V.,2022,500000,Eurostars,RVO
PUB-372,Stichting Kenniscentrum Kraamzorg (KCKZ),2024,499995,Kwaliteitsgelden Kraamzorg 2024,ZonMW
PUB-373,Stg. Amsterdam Inst. for Adv. Metropol. Sol.,2023,499972,Kennis en Innovatie Agenda-Circulaire Economie (KIA CE),RVO
PUB-374,Vivolta B.V.,2023,499955,Eurostars,RVO
PUB-375,MindAffect B.V.,2023,499892,Eurostars,RVO
PUB-376,LeydenJar Technologies BV,2022,499875,Eurostars,RVO
PUB-377,Forensisch medisch genootschap,2023,499654,Richtlijnontwikkeling lijkschouw en FMO (forensisch medisch onderzoek),ZonMW
PUB-378,FUL Foods,2023,499529,Eurostars,RVO
PUB-379,DC4U,2022,499499,Eurostars,RVO
PUB-380,Stichting Flever,2024,499229,Coalitievorming t.b.v. participatiehub Flevoland,ZonMW
