fact_id,ontvanger,jaar,bedrag,descriptor,source
PUB-465,In Holland Hogeschool,2024,411075,Regionaal Kennisnetwerk Jeugd Noord-Holland: gezamenlijke verbinding met KBL,ZonMW
PUB-466,Choice bv,2022,409750,Eurostars,RVO
PUB-467,Aminoverse B.V.,2022,408300,Eurostars,RVO
PUB-468,ZOOROBOTICS BV,2022,408300,Eurostars,RVO
PUB-469,Gemeente Weert,2024,407528,Regionale Kenniswerkplaats Onbegrepen Gedrag Midden-Limburg,ZonMW
PUB-470,Avans Hogeschool / DFS,2022,407050,Gendersensitief werken voor kinderen van gedetineerde vaders,ZonMW
PUB-471,Gemeente Goes,2023,406000,Domeinoverstijgend samenwerken Zorg en Veiligheid Zeeland,ZonMW
PUB-472,Universiteit Leiden,2024,403061,PPP-COMPUTE: Pandemisch Farmacologie Platform voor model-gestuurde therapie optimalisatie,ZonMW
PUB-473,Catharina Ziekenhuis Radiotherapie,2024,401821,Implementatie van de kosteneffectieve PreHEART score voor prehospitale triage bij pijn op de borst,ZonMW
PUB-474,Mijzo,2024,400000,Transmurale Zorgnetwerk West Brabant oost,ZonMW
PUB-475,NEO Huisartsen Dagzorg B.V.,2023,400000,Versterken van leefstijladvisering binnen de zorggroep Nijmegen en omstreken (NEO),ZonMW
PUB-476,NCJ,2023,400000,Digitale infrastructuur JGZ Richtlijnen,ZonMW
PUB-477,Veiligheidsregio N-Holland Noord,2023,400000,Vervolgfase ôAanpak mensen met onbegrepen gedragô,ZonMW
PUB-478,Stichting De Wending,2024,400000,Op weg naar een nieuw gezondheidslandschap in Mooi Maasvallei,ZonMW
PUB-479,Huisartsenpraktijk Amarant,2023,399746,Van weten naar doen: op weg naar een werkzame preventie in de eerste lijn,ZonMW
PUB-480,Veiligheidsregio Twente,2023,399398,Versterkingsagenda Zorg en Veiligheid Twente,ZonMW
PUB-481,St Kenniscentrum Phrenos,2023,399274,Ogen open voor LVB in de GGZ. Het LVB proof maken van gespecialiseerde ggz instellingen,ZonMW
PUB-482,Stichting Fontys,2022,398225,Empty Farm to Fill,ZonMW
PUB-483,Gemeente Albrandswaard,2024,397707,Inloopvoorzieningen met dagactiviteiten voor beginnende dementerenden en diens mantelzorgers,ZonMW
PUB-484,Stichting BVE Oost-Gelderland,2022,397100,HIER DRAAG JE BIJ AAN DE SAMENLEVING VAN DE TOEKOMST,ZonMW
PUB-485,Stichting Adelante Zorg,2024,396986,Gezond leven met hersenletsel in Limburg,ZonMW
PUB-486,Siip Group B.V.,2022,395200,"Smart Safe Stadiums’,  Deze aanvraag heeft u op 8 november bij het programma Sportinnovator ingediend voor de subsidie oproep ‘De inzet van (slimme) technologie in voetbalstadions voor de aanpak van racisme en discriminatie",ZonMW
PUB-487,Huisarts en Zorg Facilitair B.V.,2023,394631,Leefstijlondersteuning op recept. Actieonderzoek naar verduurzamen en versterken van de samenwerking tussen het medische en het sociale domein om de leefstijlinterventie ‘Slimmer’ effectiever te maken voor patiënten met lage gezondheidsvaardigheden,ZonMW
PUB-488,Leidsche Rijn Julius Gez.centra,2023,391881,Implementatie Wijkleefstijlnetwerk Leidsche Rijn Gezond: samen kom je verder,ZonMW
PUB-489,Semiconductor Ideas To The Market (Itom) B.V.,2022,390617,Eurostars,RVO
PUB-490,Universiteit Maastricht Finance/Debiteuren,2022,390500,NODOK en NODOV,ZonMW
PUB-491,NPSP,2022,390400,Eurostars,RVO
PUB-492,Gemeente Bergen op Zoom,2024,390388,Regionale inzet West Brabant West wijk GGD-er/Wijk GGZ-er,ZonMW
PUB-493,Min. van Justitie en Veiligheid 604/NFI,2022,390000,Additional multidisciplinary medical forensic diagnostics to aid the forensic physician during death investigation – Introduction of the NOFA-procedure (Nader Overlijdensonderzoek Forensisch Arts – Additional death investigation forensic physician),ZonMW
PUB-494,Zorggroep Eerste Lijn Chronische Zorg B.V.,2023,389606,Werken aan de GLI: doorontwikkeling en evaluatie van de Gecombineerde Leefstijl Interventie (GLI) voor werkenden,ZonMW
PUB-495,GGD Flevoland,2022,388275,Integraal Gezondheidsonderzoek bij Rampen – COVID-19 Fase 2 GGD Flevoland/ Integrated Public Health Monitor – COVID-19 Phase 2 GGD Flevoland,ZonMW
PUB-496,Noble Environmental Technologies Europe B.V.,2022,386901,Kennis en Innovatie Agenda-Circulaire Economie (KIA CE),RVO
PUB-497,Sorama B.V.,2022,381600,Fangage for Football,ZonMW
PUB-498,Gemeente Zoetermeer,2024,381521,Lerend netwerk preventie Zoetermeer,ZonMW
PUB-499,Omnigen B.V.,2023,379665,Eurostars,RVO
PUB-500,ZINZIZ b.v.,2022,378590,`Het zijn net mensenô : vakmanschap versterken aan de hand van het integratief gedragsmodel,ZonMW
