fact_id,module,entity,source,metric,contract_count,totaal,years_with_data,query_ref,verified_at
PUB-SRC-048,publiek,TOA Oegstgeest B.V.,COA,per_source_count,31,12245031,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-049,publiek,Lobbes Speelgoed BV,COA,per_source_count,31,150030,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-050,publiek,Munckhof Taxi BV (voorheen 601,COA,per_source_count,31,97960031,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-051,publiek,Slaapschepen Public B.V.,COA,per_source_count,31,180985031,3,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-052,publiek,Le Cocq Holding Didam II B.V.,COA,per_source_count,31,357195030,2,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-053,publiek,Zeelandhallen Exploitatie BV,COA,per_source_count,31,17870031,5,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-054,publiek,Heemskerk Sports & Games BV,COA,per_source_count,30,515030,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-055,publiek,IP Groep,COA,per_source_count,30,13825029,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-056,publiek,RMA Healthcare,COA,per_source_count,30,1079105030,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-057,publiek,Directbouw b.v.,COA,per_source_count,30,13355030,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-058,publiek,Arcadis Nederland B.V.,COA,per_source_count,30,17675029,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-059,publiek,Het Nederlandse Rode Kruis,COA,per_source_count,30,13135030,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-060,publiek,Plus Siemonsma,COA,per_source_count,29,145029,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-061,publiek,Centraal Justitieel Incasso Bu,COA,per_source_count,29,125025,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-062,publiek,Solvinity,COA,per_source_count,29,2770029,7,Q-PUB-02,2026-03-02T19:28:34Z
