fact_id,module,entity,metric,totaal,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,max_ratio,drop_period,query_ref,verified_at
INSTR-YOY-DN-028,instrumenten,ROC Nova College,yoy_decrease,103538000,0,0,0,0,103265000,93000,94000,0,86000,1110.37634408602,2020-2021,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-029,instrumenten,United Nations,yoy_decrease,772217000,172449000,124159000,119426000,129980000,116079000,106105000,100000,3444000,475000,1061.05,2021-2022,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-030,instrumenten,Raad voor Rechtsbijstand,yoy_decrease,319354000,49889000,49732000,50630000,51856000,31003000,26925000,28507000,30782000,30000,1026.06666666667,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-031,instrumenten,Stichting Verslavingsreclassering GGZ,yoy_decrease,610641000,69375000,69448000,72912000,75307000,77033000,78826000,82270000,85381000,89000,959.337078651685,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-032,instrumenten,Koninklijke stichting Defensie Musea,yoy_decrease,150555000,15800000,15893000,32066000,16300000,18250000,16902000,17141000,18184000,19000,957.052631578947,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-033,instrumenten,Cft Inz Bonaire,yoy_decrease,182490000,23655000,23548000,22339000,0,0,28386000,32956000,51551000,55000,937.290909090909,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-034,instrumenten,ROC van Twente,yoy_decrease,162993000,13000,0,5000,23000,160331000,180000,160000,0,2281000,890.727777777778,2020-2021,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-035,instrumenten,Open Universiteit,yoy_decrease,156331000,0,40566000,45863000,87000,185000,461000,357000,68732000,80000,859.15,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-036,instrumenten,Energiedirect B.V.,yoy_decrease,355091000,0,0,0,0,0,0,205458000,149452000,181000,825.701657458564,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-037,instrumenten,"INOS, Stichting Katholiek Onderwijs",yoy_decrease,133876000,186000,58269000,65047000,93000,1430000,4099000,1658000,0,3094000,699.430107526882,2018-2019,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-038,instrumenten,Reclassering Nederland,yoy_decrease,1246468000,142206000,139755000,145032000,152139000,158197000,160502000,167493000,180885000,259000,698.397683397683,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-039,instrumenten,Nederlandse Voedsel- en Warenautoriteit (NVWA),yoy_decrease,940406000,162982000,167634000,185122000,209010000,215338000,320000,0,0,0,672.93125,2020-2021,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-040,instrumenten,Autoriteit persoonsgegevens,yoy_decrease,163870000,0,10894000,16231000,20492000,24189000,26624000,29020000,36361000,59000,616.28813559322,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-041,instrumenten,Zorginstituut Nederland,yoy_decrease,71007222000,0,0,0,0,0,14567492000,24503000,32129157000,24286070000,594.51871199445,2021-2022,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-042,instrumenten,Stichting Openbaar Onderwijs Zwolle,yoy_decrease,106265000,419000,79589000,134000,200000,1203000,15361000,3027000,0,6332000,593.94776119403,2017-2018,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-043,instrumenten,Vattenfall Warmte N.V.,yoy_decrease,100120000,0,0,0,0,0,0,0,99950000,170000,587.941176470588,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-044,instrumenten,Koninklijke Luchtvaart Maatschappij N.V.,yoy_decrease,280372000,200000,200000,0,0,277084000,480000,176000,1667000,565000,577.258333333333,2020-2021,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-045,instrumenten,Stichting het Juridisch Loket,yoy_decrease,114031000,0,0,0,0,26491000,34850000,19238000,33393000,59000,565.983050847458,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-046,instrumenten,Gemeentebestuur van arnhem,yoy_decrease,140985000,0,0,0,0,8227000,34992000,7075000,90519000,172000,526.273255813953,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-047,instrumenten,Dienst Publiek en Communicatie (DPC),yoy_decrease,142036000,25433000,26481000,52000,30317000,6380000,5678000,10142000,22235000,15318000,509.25,2017-2018,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-048,instrumenten,Belastingdienst,yoy_decrease,7329971000,697000,54000,5995000,42901000,33936000,7208677000,37241000,84000,386000,443.345238095238,2022-2023,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-049,instrumenten,Hoofdvestiging Gemeente Eemsdelta,yoy_decrease,184215000,0,0,0,0,0,183771000,444000,0,0,413.898648648649,2021-2022,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-050,instrumenten,Waterschap noorderzijlvest,yoy_decrease,145049000,36204000,4333000,47268000,18895000,46000,59000,847000,36558000,839000,410.760869565217,2019-2020,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-051,instrumenten,Aa en Hunze,yoy_decrease,141893000,0,31889000,33893000,36979000,39036000,96000,0,0,0,406.625,2020-2021,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-052,instrumenten,Stichting Hoger Onderwijs Nederland,yoy_decrease,1479566000,524000,145984000,161986000,172695000,428000,228904000,258818000,255594000,254633000,403.492990654206,2019-2020,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-053,instrumenten,Ministerie van Economische Zaken,yoy_decrease,238357000,0,0,5831000,375000,48233000,50129000,54428000,79142000,219000,361.37899543379,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-054,instrumenten,Provincie utrecht,yoy_decrease,1620327000,4928000,40739000,116000,3871000,38539000,325909000,322458000,315161000,568606000,351.198275862069,2017-2018,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-055,instrumenten,Politie,yoy_decrease,34256377000,23116000,14379000,34902000,6278826000,6457911000,6595418000,7311689000,7517724000,22412000,335.432982330894,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-056,instrumenten,Maasdriel,yoy_decrease,118689000,0,26704000,28052000,30448000,33288000,100000,97000,0,0,332.88,2020-2021,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-057,instrumenten,Stichting TKI HTSM,yoy_decrease,211771000,60350000,63179000,79518000,240000,301000,364000,99000,416000,7304000,331.325,2018-2019,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-058,instrumenten,Tactisch beheer Omgevingswet,yoy_decrease,130429000,0,0,0,0,0,0,50085000,80085000,259000,309.208494208494,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-059,instrumenten,Ver. Chr. Voortgezet Onderwijs te R,yoy_decrease,169756000,739000,168468000,549000,0,0,0,0,0,0,306.863387978142,2017-2018,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-060,instrumenten,Stichting kom Leren,yoy_decrease,181277000,48000,18726000,20870000,21987000,74000,25295000,31351000,31197000,31729000,297.121621621622,2019-2020,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-061,instrumenten,Wageningen Universiteit/ Wageningen University,yoy_decrease,206824000,515000,189896000,698000,569000,1298000,2386000,1577000,8648000,1237000,272.057306590258,2017-2018,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-062,instrumenten,NATO Financial Control,yoy_decrease,127527000,0,0,0,10691000,10994000,12671000,35684000,57275000,212000,270.165094339623,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-063,instrumenten,Dienst ICT Uitvoering (DICTU),yoy_decrease,205707000,62772000,61127000,80347000,298000,1163000,0,0,0,0,269.620805369128,2018-2019,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-064,instrumenten,Stichting Eduvier Onderwijsgroep,yoy_decrease,224896000,78000,23669000,27027000,28657000,107000,32454000,35730000,37047000,40127000,267.822429906542,2019-2020,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-065,instrumenten,Technische Universiteit Delft (TU Delft),yoy_decrease,367175000,5149000,360633000,1393000,0,0,0,0,0,0,258.889447236181,2017-2018,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-066,instrumenten,NOC * NSF,yoy_decrease,125495000,0,0,0,91000,0,60303000,64498000,253000,350000,254.932806324111,2022-2023,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-067,instrumenten,De Vrije school Noord en Oost Nederland,yoy_decrease,125541000,0,23000,18087000,19087000,76000,20704000,22449000,22860000,22255000,251.144736842105,2019-2020,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-068,instrumenten,Laarbeek,yoy_decrease,113938000,0,26193000,27451000,29217000,30949000,128000,0,0,0,241.7890625,2020-2021,Q-INSTR-03,2026-03-02T19:28:34Z
