fact_id,ontvanger,jaar,bedrag,descriptor,type
INSTR-241,Stichting Hogeschool Rotterdam,2024,312094000,Onderwijsdeel hbo,Bekostiging
INSTR-242,Technische Universiteit Eindhoven,2022,311079000,Onderwijsdeel wo,Bekostiging
INSTR-243,Provincie Noord-Brabant,2022,308160000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-244,Universiteit Twente,2023,307578000,Onderwijsdeel wo,Bekostiging
INSTR-245,Stichting Hogeschool van Arnhem en Nijmegen,2022,306265000,Onderwijsdeel hbo,Bekostiging
INSTR-246,Geanonimiseerde ontvanger(s) van Subsidies (regelingen) voor Landelijke beëindigingsregeling veehouderijen,2024,305295000,Landelijke beëindigingsregeling veehouderijen,Subsidies (regelingen)
INSTR-247,Gemeente Zwolle,2024,305157000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-248,Stichting Carmelcollege,2022,304482000,Bekostiging voortgezet onderwijs lumpsum,Bekostiging
INSTR-249,Provincie Zuid-Holland,2022,302300000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-250,TNO KWALITEIT VAN LEVEN,2024,301401000,Bijdrage aan TNO,Bijdrage aan ZBOs en RWTs
INSTR-251,TenneT TSO B.V.,2023,300872000,Net op Zee Tennet (SE),Subsidies (regelingen)
INSTR-252,Stichting Hogeschool Utrecht,2022,296166000,Onderwijsdeel hbo,Bekostiging
INSTR-253,Provincie Gelderland,2022,295827000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-254,Gemeente Dordrecht,2024,294218000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-255,Gemeente Maastricht,2024,294047000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-256,Wageningen University,2022,293726000,Onderwijsdeel wo,Bekostiging
INSTR-257,Stichting Hogeschool van Arnhem en Nijmegen,2023,292730000,Onderwijsdeel hbo,Bekostiging
INSTR-258,Gemeente Amersfoort,2022,292380000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-259,TNO KWALITEIT VAN LEVEN,2023,291814000,Bijdrage aan TNO,Bijdrage aan ZBOs en RWTs
INSTR-260,Stichting Hogeschool van Arnhem en Nijmegen,2024,291750000,Onderwijsdeel hbo,Bekostiging
INSTR-261,Stichting Hogeschool Utrecht,2024,290670000,Onderwijsdeel hbo,Bekostiging
INSTR-262,Gemeente Leiden,2024,290451000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-263,Stichting Avans,2022,290023000,Onderwijsdeel hbo,Bekostiging
INSTR-264,Gemeente 's-Hertogenbosch,2022,289766000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-265,Vereniging Studentenkaart Streekvervoer,2023,288454000,Reisvoorziening gift (R),Inkomensoverdrachten
INSTR-266,Gemeente Leeuwarden,2022,288331000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-267,Stichting Hogeschool Utrecht,2023,288174000,Onderwijsdeel hbo,Bekostiging
INSTR-268,Universiteit Twente,2022,287925000,Onderwijsdeel wo,Bekostiging
INSTR-269,Provincie Noord-Holland,2023,287356000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-270,Gemeente Zwolle,2023,287053000,Algemene uitkering en aanvullende uitkeringen,Bijdrage aan medeoverheden
INSTR-271,Gemeente Amsterdam,2022,282760000,Decentralisatie-uitkeringen,Bijdrage aan medeoverheden
